"Site","Site_ID","Project","Date","TP","Lat","Long"
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC",2017-11-15,"218.7",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC",2017-11-15,"218.7",42.805,-76.491
"Veness Brook","07-VENE-0.4","DEC",2017-11-15,"11.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-11-15,"11.3",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-11-15,"15.3",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-11-15,"15.3",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-11-15,"20.3",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-11-15,"20.3",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC",2017-12-01,"62.4",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC",2017-12-01,"62.4",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC",2017-12-01,"62.4",42.805,-76.491
"Veness Brook","07-VENE-0.4","DEC",2017-12-01,"10.4",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-12-01,"10.4",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-12-01,"8.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-12-01,"8.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-12-01,"12",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-12-01,"12",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-07-05,"23.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-07-05,"23.7",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2018-07-05,"59.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-07-05,"59.3",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-07-05,"20",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-07-05,"20",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-07-25,"62.9",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-07-25,"62.9",42.864,-76.508
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-08-14,"42.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-08-14,"42.7",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2018-08-14,"40",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-08-14,"40",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-08-14,"18.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-08-14,"18.6",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-08-14,"172",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-08-14,"172",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-08-28,"26.6",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-08-28,"26.6",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2018-08-28,"36.2",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-08-28,"36.2",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-08-28,"11.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-08-28,"11.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-08-28,"73.6",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-08-28,"73.6",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC",2018-09-10,"48.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-09-10,"48.5",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-09-10,"47.9",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-09-10,"47.9",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-09-10,"30.5",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-09-10,"30.5",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-09-11,"22.5",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-09-11,"22.5",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2018-09-11,"135",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-09-11,"135",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-09-11,"76.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-09-11,"76.5",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-09-11,"44.7",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-09-11,"44.7",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-10-23,"22",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2018-10-23,"22",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2018-10-23,"22.8",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-10-23,"22.8",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-10-23,"8.2",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-10-23,"8.2",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-10-23,"15.7",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-10-23,"15.7",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC",2018-10-29,"63.9",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-10-29,"63.9",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-10-29,"35.1",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-10-29,"35.1",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-10-29,"50.6",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-10-29,"50.6",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC",2018-11-02,"52.6",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2018-11-02,"52.6",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-11-02,"43.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2018-11-02,"43.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2018-11-02,"37.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2018-11-02,"37.1",42.902,-76.527
"Veness Brook","07-VENE-1.5","DOW",2019-07-16,"22.1",42.88016,-76.56232
"Veness Brook","07-VENE-1.5","DOW",2019-07-16,"22.1",42.880164,-76.56232
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2019-07-16,"10.9",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2019-07-16,"10.9",42.864,-76.508
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DOW",2019-07-16,"88.5",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DOW",2019-07-16,"88.5",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DOW",2019-07-16,"88.5",42.805,-76.491
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2019-07-16,"14.7",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2019-07-16,"14.7",42.71667,-76.43773
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW",2019-07-16,"11.5",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW",2019-07-16,"11.5",42.824,-76.521
"Veness Brook","07-VENE-1.5","DOW",2019-06-19,"19.9",42.88016,-76.56232
"Veness Brook","07-VENE-1.5","DOW",2019-06-19,"19.9",42.880164,-76.56232
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW",2019-06-19,"10.7",42.824,-76.521
