"Site","Site_ID","Project","Date","TP","Lat","Long"
"Sucker Brook","07-SCKR-0.1","DEC","17261","27.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17261","27.1",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC","17288","72.4",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17288","72.4",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17288","101.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17288","101.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17288","287",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17288","287",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17323","13.1",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17323","13.1",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17323","24.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17323","24.3",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17323","20.2",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17323","20.2",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17323","27.4",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17323","27.4",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17352","31",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17352","31",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17352","47.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17352","47.2",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17375","11.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17375","11.7",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17375","26.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17375","26.5",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17375","24.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17375","24.6",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17375","49",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17375","49",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC","17469","341.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17469","341.5",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17469","474.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17469","474.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17469","383.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17469","383.2",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC","17485","218.7",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC","17485","218.7",42.805,-76.491
